FilterType,b,queryTime,targetFpr,n
Cuckoo,2.000000,34.787500,0.010000,10000
Cuckoo,2.000000,34.687500,0.010000,10000
Cuckoo,2.000000,35.683300,0.010000,10000
Cuckoo,2.000000,34.741700,0.010000,10000
Cuckoo,2.000000,35.000000,0.010000,10000
Cuckoo,2.000000,35.641700,0.010000,10000
Cuckoo,2.000000,35.620800,0.010000,10000
Cuckoo,2.000000,35.229100,0.010000,10000
Cuckoo,2.000000,35.200000,0.010000,10000
Cuckoo,2.000000,34.658400,0.010000,10000
Cuckoo,2.000000,35.120800,0.010000,10000
Cuckoo,2.000000,36.915000,0.010000,50000
Cuckoo,2.000000,36.190000,0.010000,50000
Cuckoo,2.000000,36.532500,0.010000,50000
Cuckoo,2.000000,35.826680,0.010000,50000
Cuckoo,2.000000,35.650840,0.010000,50000
Cuckoo,2.000000,36.282500,0.010000,50000
Cuckoo,2.000000,35.896660,0.010000,50000
Cuckoo,2.000000,36.216660,0.010000,50000
Cuckoo,2.000000,37.383340,0.010000,50000
Cuckoo,2.000000,39.010000,0.010000,50000
Cuckoo,2.000000,36.190840,0.010000,50000
Cuckoo,2.000000,35.878340,0.010000,50000
Cuckoo,2.000000,36.710840,0.010000,50000
Cuckoo,2.000000,35.997500,0.010000,50000
Cuckoo,2.000000,43.246660,0.010000,50000
Cuckoo,2.000000,35.945830,0.010000,100000
Cuckoo,2.000000,37.355830,0.010000,100000
Cuckoo,2.000000,37.300830,0.010000,100000
Cuckoo,2.000000,37.280420,0.010000,100000
Cuckoo,2.000000,37.372080,0.010000,100000
Cuckoo,2.000000,37.202500,0.010000,100000
Cuckoo,2.000000,37.337920,0.010000,100000
Cuckoo,2.000000,37.218330,0.010000,100000
Cuckoo,2.000000,36.502080,0.010000,100000
Cuckoo,2.000000,35.931670,0.010000,100000
Cuckoo,2.000000,35.962080,0.010000,100000
Cuckoo,2.000000,36.053340,0.010000,100000
Cuckoo,2.000000,36.507080,0.010000,100000
Cuckoo,2.000000,36.080410,0.010000,100000
Cuckoo,2.000000,36.174590,0.010000,100000
Cuckoo,2.000000,42.358834,0.010000,500000
Cuckoo,2.000000,41.043418,0.010000,500000
Cuckoo,2.000000,40.371084,0.010000,500000
Cuckoo,2.000000,40.055000,0.010000,500000
Cuckoo,2.000000,41.876416,0.010000,500000
Cuckoo,2.000000,40.396918,0.010000,500000
Cuckoo,2.000000,41.549166,0.010000,500000
Cuckoo,2.000000,40.315750,0.010000,500000
Cuckoo,2.000000,40.649834,0.010000,500000
Cuckoo,2.000000,41.326000,0.010000,500000
Cuckoo,2.000000,44.985416,0.010000,500000
Cuckoo,2.000000,38.652916,0.010000,500000
Cuckoo,2.000000,40.895834,0.010000,500000
Cuckoo,2.000000,39.720000,0.010000,500000
Cuckoo,2.000000,39.482166,0.010000,500000
Cuckoo,2.000000,71.074625,0.010000,1000000
Cuckoo,2.000000,99.221583,0.010000,1000000
Cuckoo,2.000000,97.995167,0.010000,1000000
Cuckoo,2.000000,110.459541,0.010000,1000000
Cuckoo,2.000000,82.855125,0.010000,1000000
Cuckoo,2.000000,204.109458,0.010000,1000000
Cuckoo,2.000000,145.827958,0.010000,1000000
Cuckoo,2.000000,105.079125,0.010000,1000000
Cuckoo,2.000000,127.662791,0.010000,1000000
Cuckoo,2.000000,171.098583,0.010000,1000000
Cuckoo,2.000000,97.302125,0.010000,1000000
Cuckoo,2.000000,133.130833,0.010000,1000000
Cuckoo,2.000000,226.767083,0.010000,1000000
Cuckoo,2.000000,143.422083,0.010000,1000000
Cuckoo,2.000000,217.990875,0.010000,1000000
Cuckoo,2.000000,202.054142,0.010000,5000000
Cuckoo,2.000000,153.319308,0.010000,5000000
Cuckoo,2.000000,139.205600,0.010000,5000000
Cuckoo,2.000000,143.986492,0.010000,5000000
Cuckoo,2.000000,136.773425,0.010000,5000000
Cuckoo,2.000000,136.281883,0.010000,5000000
Cuckoo,2.000000,148.635142,0.010000,5000000
Cuckoo,2.000000,126.913992,0.010000,5000000
Cuckoo,2.000000,136.883133,0.010000,5000000
Cuckoo,2.000000,130.222475,0.010000,5000000
Cuckoo,2.000000,136.032867,0.010000,5000000
Cuckoo,2.000000,128.750125,0.010000,5000000
Cuckoo,2.000000,129.645608,0.010000,5000000
Cuckoo,2.000000,130.884042,0.010000,5000000
Cuckoo,2.000000,129.348858,0.010000,5000000
Cuckoo,2.000000,137.830921,0.010000,10000000
Cuckoo,2.000000,137.077542,0.010000,10000000
Cuckoo,2.000000,163.077012,0.010000,10000000
Cuckoo,2.000000,158.492850,0.010000,10000000
Cuckoo,2.000000,166.969054,0.010000,10000000
Cuckoo,2.000000,191.454033,0.010000,10000000
Cuckoo,2.000000,128.971033,0.010000,10000000
Cuckoo,2.000000,130.180604,0.010000,10000000
Cuckoo,2.000000,128.617817,0.010000,10000000
Cuckoo,2.000000,128.909337,0.010000,10000000
Cuckoo,2.000000,130.137663,0.010000,10000000
Cuckoo,2.000000,129.911067,0.010000,10000000
Cuckoo,2.000000,129.266188,0.010000,10000000
Cuckoo,2.000000,130.044196,0.010000,10000000
Cuckoo,2.000000,128.367054,0.010000,10000000
Cuckoo,4.000000,59.154200,0.010000,10000
Cuckoo,4.000000,58.095800,0.010000,10000
Cuckoo,4.000000,58.087500,0.010000,10000
Cuckoo,4.000000,57.879200,0.010000,10000
Cuckoo,4.000000,61.000000,0.010000,10000
Cuckoo,4.000000,58.095800,0.010000,10000
