FilterType,n,constTime,fpr,iteration
Blocked Bloom,1000000.000000,2.645834,0.100000,10
Xor,1000000.000000,938.104084,0.100000,1
Xor,1000000.000000,942.894166,0.100000,2
Xor,1000000.000000,667.512583,0.100000,3
Xor,1000000.000000,563.916000,0.100000,4
Xor,1000000.000000,573.721000,0.100000,5
Xor,1000000.000000,615.292000,0.100000,6
Xor,1000000.000000,612.863125,0.100000,7
Xor,1000000.000000,533.083875,0.100000,8
Xor,1000000.000000,500.612625,0.100000,9
Xor,1000000.000000,510.909792,0.100000,10
