FilterType,b,alpha,n,iteration
Cuckoo,8.000000,0.759720,100000.000000,1
Cuckoo,8.000000,0.717770,100000.000000,2
Cuckoo,8.000000,0.720330,100000.000000,3
Cuckoo,8.000000,0.734220,100000.000000,4
Cuckoo,8.000000,0.710230,100000.000000,5
Cuckoo,8.000000,0.723910,100000.000000,6
Cuckoo,8.000000,0.743370,100000.000000,7
Cuckoo,8.000000,0.771890,100000.000000,8
Cuckoo,8.000000,0.699080,100000.000000,9
Cuckoo,1.000000,0.209772,500000.000000,0
Cuckoo,1.000000,0.186904,500000.000000,1
Cuckoo,1.000000,0.180736,500000.000000,2
Cuckoo,1.000000,0.213018,500000.000000,3
Cuckoo,1.000000,0.196090,500000.000000,4
Cuckoo,1.000000,0.188922,500000.000000,5
Cuckoo,1.000000,0.183878,500000.000000,6
Cuckoo,1.000000,0.167578,500000.000000,7
Cuckoo,1.000000,0.211834,500000.000000,8
Cuckoo,1.000000,0.192290,500000.000000,9
Cuckoo,2.000000,0.450238,500000.000000,0
Cuckoo,2.000000,0.381956,500000.000000,1
Cuckoo,2.000000,0.403892,500000.000000,2
Cuckoo,2.000000,0.317600,500000.000000,3
Cuckoo,2.000000,0.375888,500000.000000,4
Cuckoo,2.000000,0.399782,500000.000000,5
Cuckoo,2.000000,0.398870,500000.000000,6
Cuckoo,2.000000,0.362890,500000.000000,7
Cuckoo,2.000000,0.389198,500000.000000,8
Cuckoo,2.000000,0.386144,500000.000000,9
Cuckoo,4.000000,0.591464,500000.000000,0
Cuckoo,4.000000,0.597664,500000.000000,1
Cuckoo,4.000000,0.560076,500000.000000,2
Cuckoo,4.000000,0.583814,500000.000000,3
Cuckoo,4.000000,0.579658,500000.000000,4
Cuckoo,4.000000,0.565964,500000.000000,5
Cuckoo,4.000000,0.531182,500000.000000,6
Cuckoo,4.000000,0.580018,500000.000000,7
Cuckoo,4.000000,0.411854,500000.000000,8
Cuckoo,4.000000,0.468084,500000.000000,9
Cuckoo,8.000000,0.663046,500000.000000,0
Cuckoo,8.000000,0.710856,500000.000000,1
Cuckoo,8.000000,0.730178,500000.000000,2
Cuckoo,8.000000,0.720868,500000.000000,3
Cuckoo,8.000000,0.676960,500000.000000,4
Cuckoo,8.000000,0.730644,500000.000000,5
Cuckoo,8.000000,0.723524,500000.000000,6
Cuckoo,8.000000,0.740636,500000.000000,7
Cuckoo,8.000000,0.699270,500000.000000,8
Cuckoo,8.000000,0.659942,500000.000000,9
Cuckoo,1.000000,0.236060,1000000.000000,0
Cuckoo,1.000000,0.196067,1000000.000000,1
Cuckoo,1.000000,0.135272,1000000.000000,2
Cuckoo,1.000000,0.198691,1000000.000000,3
Cuckoo,1.000000,0.164978,1000000.000000,4
Cuckoo,1.000000,0.189449,1000000.000000,5
Cuckoo,1.000000,0.185409,1000000.000000,6
Cuckoo,1.000000,0.196348,1000000.000000,7
Cuckoo,1.000000,0.215395,1000000.000000,8
Cuckoo,1.000000,0.199228,1000000.000000,9
Cuckoo,2.000000,0.355529,1000000.000000,0
Cuckoo,2.000000,0.380755,1000000.000000,1
Cuckoo,2.000000,0.341216,1000000.000000,2
Cuckoo,2.000000,0.398394,1000000.000000,3
Cuckoo,2.000000,0.366141,1000000.000000,4
Cuckoo,2.000000,0.368173,1000000.000000,5
Cuckoo,2.000000,0.425298,1000000.000000,6
Cuckoo,2.000000,0.314559,1000000.000000,7
Cuckoo,2.000000,0.385896,1000000.000000,8
Cuckoo,2.000000,0.384787,1000000.000000,9
Cuckoo,4.000000,0.527915,1000000.000000,0
Cuckoo,4.000000,0.555365,1000000.000000,1
Cuckoo,4.000000,0.544331,1000000.000000,2
Cuckoo,4.000000,0.483721,1000000.000000,3
Cuckoo,4.000000,0.507886,1000000.000000,4
Cuckoo,4.000000,0.567266,1000000.000000,5
Cuckoo,4.000000,0.505882,1000000.000000,6
Cuckoo,4.000000,0.533301,1000000.000000,7
Cuckoo,4.000000,0.569221,1000000.000000,8
Cuckoo,4.000000,0.562506,1000000.000000,9
Cuckoo,8.000000,0.657423,1000000.000000,0
Cuckoo,8.000000,0.650110,1000000.000000,1
Cuckoo,8.000000,0.674873,1000000.000000,2
Cuckoo,8.000000,0.667104,1000000.000000,3
Cuckoo,8.000000,0.670338,1000000.000000,4
