FilterType,f,alpha,targetFpr,n
Cuckoo,6.000000,0.583859,0.100000,1
Cuckoo,6.000000,0.597971,0.100000,1
Cuckoo,6.000000,0.631407,0.100000,1
Cuckoo,6.000000,0.570300,0.100000,1
Cuckoo,6.000000,0.564812,0.100000,1
Cuckoo,7.000000,0.597146,0.100000,1
Cuckoo,7.000000,0.604698,0.100000,1
Cuckoo,7.000000,0.568005,0.100000,1
Cuckoo,7.000000,0.504045,0.100000,1
Cuckoo,7.000000,0.536855,0.100000,1
Cuckoo,7.000000,0.632851,0.100000,1
Cuckoo,7.000000,0.581434,0.100000,1
Cuckoo,7.000000,0.560467,0.100000,1
Cuckoo,7.000000,0.591990,0.100000,1
Cuckoo,7.000000,0.590453,0.100000,1
Cuckoo,8.000000,0.587865,0.100000,1
Cuckoo,8.000000,0.571737,0.100000,1
Cuckoo,8.000000,0.610112,0.100000,1
Cuckoo,8.000000,0.590935,0.100000,1
Cuckoo,8.000000,0.572050,0.100000,1
Cuckoo,8.000000,0.611665,0.100000,1
Cuckoo,8.000000,0.555511,0.100000,1
Cuckoo,8.000000,0.544921,0.100000,1
Cuckoo,8.000000,0.618171,0.100000,1
Cuckoo,8.000000,0.584614,0.100000,1
Cuckoo,9.000000,0.573916,0.100000,1
Cuckoo,9.000000,0.527412,0.100000,1
Cuckoo,9.000000,0.588682,0.100000,1
Cuckoo,9.000000,0.640706,0.100000,1
Cuckoo,9.000000,0.592914,0.100000,1
Cuckoo,9.000000,0.592739,0.100000,1
Cuckoo,9.000000,0.558607,0.100000,1
Cuckoo,9.000000,0.618577,0.100000,1
Cuckoo,9.000000,0.527011,0.100000,1
Cuckoo,9.000000,0.583285,0.100000,1
