FilterType,lf,queryTime,n,iteration
Blocked Bloom,0.250000,11.200000,1000000.000000,1
Blocked Bloom,0.250000,9.741700,1000000.000000,2
Blocked Bloom,0.250000,10.250000,1000000.000000,3
Blocked Bloom,0.250000,9.512500,1000000.000000,4
Blocked Bloom,0.250000,8.970800,1000000.000000,5
Blocked Bloom,0.250000,15.337500,1000000.000000,6
Blocked Bloom,0.250000,11.504100,1000000.000000,7
Blocked Bloom,0.250000,9.191700,1000000.000000,8
Blocked Bloom,0.250000,9.775000,1000000.000000,9
Blocked Bloom,0.250000,9.195800,1000000.000000,10
Blocked Bloom,0.500000,10.991700,1000000.000000,1
Blocked Bloom,0.500000,9.195800,1000000.000000,2
Blocked Bloom,0.500000,9.387500,1000000.000000,3
Blocked Bloom,0.500000,8.741700,1000000.000000,4
Blocked Bloom,0.500000,8.770900,1000000.000000,5
Blocked Bloom,0.500000,9.012500,1000000.000000,6
Blocked Bloom,0.500000,8.845800,1000000.000000,7
Blocked Bloom,0.500000,12.300000,1000000.000000,8
Blocked Bloom,0.500000,16.220800,1000000.000000,9
Blocked Bloom,0.500000,14.050000,1000000.000000,10
Blocked Bloom,0.750000,11.491700,1000000.000000,1
Blocked Bloom,0.750000,11.345900,1000000.000000,2
Blocked Bloom,0.750000,12.075000,1000000.000000,3
Blocked Bloom,0.750000,15.025000,1000000.000000,4
Blocked Bloom,0.750000,13.554200,1000000.000000,5
Blocked Bloom,0.750000,14.912500,1000000.000000,6
Blocked Bloom,0.750000,13.483300,1000000.000000,7
Blocked Bloom,0.750000,12.587500,1000000.000000,8
Blocked Bloom,0.750000,13.233400,1000000.000000,9
Blocked Bloom,0.750000,14.479100,1000000.000000,10
Blocked Bloom,1.000000,12.825000,1000000.000000,1
Blocked Bloom,1.000000,11.616700,1000000.000000,2
Blocked Bloom,1.000000,11.279100,1000000.000000,3
Blocked Bloom,1.000000,16.779200,1000000.000000,4
Blocked Bloom,1.000000,10.916700,1000000.000000,5
Blocked Bloom,1.000000,14.304200,1000000.000000,6
Blocked Bloom,1.000000,14.070900,1000000.000000,7
Blocked Bloom,1.000000,9.179200,1000000.000000,8
Blocked Bloom,1.000000,9.633300,1000000.000000,9
Blocked Bloom,1.000000,9.454200,1000000.000000,10
Xor,0.000000,7.870900,1000000.000000,1
Xor,0.000000,6.954100,1000000.000000,2
Xor,0.000000,6.958400,1000000.000000,3
Xor,0.000000,7.075000,1000000.000000,4
Xor,0.000000,11.125000,1000000.000000,5
Xor,0.000000,7.245800,1000000.000000,6
Xor,0.000000,16.329100,1000000.000000,7
Xor,0.000000,7.045900,1000000.000000,8
Xor,0.000000,15.754100,1000000.000000,9
Xor,0.000000,9.550000,1000000.000000,10
Xor,0.250000,6.695800,1000000.000000,1
Xor,0.250000,6.754100,1000000.000000,2
Xor,0.250000,6.775000,1000000.000000,3
Xor,0.250000,6.762500,1000000.000000,4
Xor,0.250000,6.795900,1000000.000000,5
Xor,0.250000,6.737500,1000000.000000,6
Xor,0.250000,6.804200,1000000.000000,7
Xor,0.250000,7.008400,1000000.000000,8
Xor,0.250000,7.533400,1000000.000000,9
Xor,0.250000,8.183300,1000000.000000,10
Xor,0.500000,6.933300,1000000.000000,1
Xor,0.500000,6.675000,1000000.000000,2
Xor,0.500000,6.941700,1000000.000000,3
Xor,0.500000,6.958400,1000000.000000,4
Xor,0.500000,6.941700,1000000.000000,5
Xor,0.500000,6.941700,1000000.000000,6
Xor,0.500000,7.333300,1000000.000000,7
Xor,0.500000,6.929100,1000000.000000,8
Xor,0.500000,6.991700,1000000.000000,9
Xor,0.500000,6.670800,1000000.000000,10
Xor,0.750000,6.970900,1000000.000000,1
Xor,0.750000,7.183400,1000000.000000,2
Xor,0.750000,6.508400,1000000.000000,3
Xor,0.750000,8.116600,1000000.000000,4
Xor,0.750000,6.937500,1000000.000000,5
Xor,0.750000,6.575000,1000000.000000,6
Xor,0.750000,6.500000,1000000.000000,7
Xor,0.750000,7.700000,1000000.000000,8
Xor,0.750000,6.470800,1000000.000000,9
Xor,0.750000,6.495800,1000000.000000,10
Xor,1.000000,6.491700,1000000.000000,1
Xor,1.000000,7.983300,1000000.000000,2
Xor,1.000000,6.491700,1000000.000000,3
Xor,1.000000,6.475000,1000000.000000,4
Xor,1.000000,6.479200,1000000.000000,5
Xor,1.000000,6.495800,1000000.000000,6
Xor,1.000000,6.891700,1000000.000000,7
Xor,1.000000,6.479100,1000000.000000,8
Xor,1.000000,6.475000,1000000.000000,9
Xor,1.000000,6.491700,1000000.000000,10



