FilterType,f,fpr,targetFpr,n
Cuckoo,15.000000,0.000268,0.001000,1000000
Cuckoo,15.000000,0.000241,0.001000,1000000
Cuckoo,15.000000,0.000204,0.001000,1000000
Cuckoo,15.000000,0.000234,0.001000,1000000
Cuckoo,15.000000,0.000213,0.001000,1000000
Cuckoo,15.000000,0.000243,0.001000,1000000
Cuckoo,15.000000,0.000256,0.001000,1000000
Cuckoo,15.000000,0.000250,0.001000,1000000
Cuckoo,12.000000,0.001916,0.010000,1000000
Cuckoo,12.000000,0.001895,0.010000,1000000
Cuckoo,12.000000,0.001930,0.010000,1000000
Cuckoo,12.000000,0.001900,0.010000,1000000
Cuckoo,12.000000,0.001881,0.010000,1000000
Cuckoo,12.000000,0.001917,0.010000,1000000
Cuckoo,12.000000,0.001857,0.010000,1000000
Cuckoo,12.000000,0.001896,0.010000,1000000
Cuckoo,12.000000,0.001864,0.010000,1000000
Cuckoo,12.000000,0.001912,0.010000,1000000
Cuckoo,9.000000,0.014864,0.100000,1000000
Cuckoo,9.000000,0.015302,0.100000,1000000
Cuckoo,9.000000,0.014777,0.100000,1000000
Cuckoo,9.000000,0.015056,0.100000,1000000
Cuckoo,9.000000,0.014762,0.100000,1000000
Cuckoo,9.000000,0.015099,0.100000,1000000
Cuckoo,9.000000,0.015050,0.100000,1000000
Cuckoo,9.000000,0.015204,0.100000,1000000
Cuckoo,9.000000,0.014970,0.100000,1000000
Cuckoo,9.000000,0.015027,0.100000,1000000
