FilterType,n,fpr,targetFpr,iteration
Bloom,10000000.000000,0.102481,0.100000,8
Bloom,10000000.000000,0.102594,0.100000,9
Bloom,100000000.000000,0.001002,0.001000,0
Bloom,100000000.000000,0.001000,0.001000,1
Bloom,100000000.000000,0.001000,0.001000,2
Bloom,100000000.000000,0.001002,0.001000,3
Bloom,100000000.000000,0.001001,0.001000,4
Bloom,100000000.000000,0.001005,0.001000,5
Bloom,100000000.000000,0.001004,0.001000,6
Bloom,100000000.000000,0.000995,0.001000,7
Bloom,100000000.000000,0.001001,0.001000,8
Bloom,100000000.000000,0.000999,0.001000,9
Bloom,100000000.000000,0.010042,0.010000,0
Bloom,100000000.000000,0.010040,0.010000,1
Bloom,100000000.000000,0.010041,0.010000,2
Bloom,100000000.000000,0.010047,0.010000,3
Bloom,100000000.000000,0.010022,0.010000,4
Bloom,100000000.000000,0.010049,0.010000,5
Bloom,100000000.000000,0.010049,0.010000,6
Bloom,100000000.000000,0.010031,0.010000,7
Bloom,100000000.000000,0.010027,0.010000,8
Bloom,100000000.000000,0.010046,0.010000,9
Bloom,100000000.000000,0.102628,0.100000,0
Bloom,100000000.000000,0.102596,0.100000,1
Bloom,100000000.000000,0.102604,0.100000,2
Bloom,100000000.000000,0.102544,0.100000,3
Bloom,100000000.000000,0.102584,0.100000,4
Bloom,100000000.000000,0.102618,0.100000,5
Bloom,100000000.000000,0.102638,0.100000,6
Bloom,100000000.000000,0.102636,0.100000,7
Bloom,100000000.000000,0.102624,0.100000,8
Bloom,100000000.000000,0.102660,0.100000,9
