FilterType,lf,queryTime,n,iteration
Blocked Bloom,0.500000,47.470900,1000000.000000,5
Blocked Bloom,0.500000,36.300000,1000000.000000,6
Blocked Bloom,0.500000,12.816700,1000000.000000,7
Blocked Bloom,0.500000,16.020900,1000000.000000,8
Blocked Bloom,0.500000,13.645800,1000000.000000,9
Blocked Bloom,0.500000,13.291600,1000000.000000,10
Blocked Bloom,0.750000,12.554200,1000000.000000,1
Blocked Bloom,0.750000,14.641700,1000000.000000,2
Blocked Bloom,0.750000,11.925000,1000000.000000,3
Blocked Bloom,0.750000,12.120800,1000000.000000,4
Blocked Bloom,0.750000,12.137500,1000000.000000,5
Blocked Bloom,0.750000,10.970800,1000000.000000,6
Blocked Bloom,0.750000,13.687500,1000000.000000,7
Blocked Bloom,0.750000,11.550000,1000000.000000,8
Blocked Bloom,0.750000,12.358400,1000000.000000,9
Blocked Bloom,0.750000,13.454200,1000000.000000,10
Blocked Bloom,1.000000,11.191700,1000000.000000,1
Blocked Bloom,1.000000,11.112500,1000000.000000,2
Blocked Bloom,1.000000,12.858400,1000000.000000,3
Blocked Bloom,1.000000,10.637500,1000000.000000,4
Blocked Bloom,1.000000,10.525000,1000000.000000,5
Blocked Bloom,1.000000,10.583400,1000000.000000,6
Blocked Bloom,1.000000,8.633300,1000000.000000,7
Blocked Bloom,1.000000,8.958400,1000000.000000,8
Blocked Bloom,1.000000,8.762500,1000000.000000,9
Blocked Bloom,1.000000,8.404200,1000000.000000,10
Xor,0.000000,9.345900,1000000.000000,1
Xor,0.000000,7.058300,1000000.000000,2
Xor,0.000000,7.058300,1000000.000000,3
Xor,0.000000,6.929200,1000000.000000,4
Xor,0.000000,7.150000,1000000.000000,5
Xor,0.000000,6.700000,1000000.000000,6
Xor,0.000000,6.679100,1000000.000000,7
Xor,0.000000,6.725000,1000000.000000,8
Xor,0.000000,6.891700,1000000.000000,9
Xor,0.000000,6.954200,1000000.000000,10
Xor,0.250000,6.716600,1000000.000000,1
Xor,0.250000,6.712500,1000000.000000,2
