FilterType,lf,queryTime,n,iteration
Cuckoo,0.000000,13.150000,1000000.000000,7
Cuckoo,0.000000,13.687500,1000000.000000,8
Cuckoo,0.000000,13.179200,1000000.000000,9
Cuckoo,0.000000,13.200000,1000000.000000,10
Cuckoo,0.250000,17.137500,1000000.000000,1
Cuckoo,0.250000,16.037500,1000000.000000,2
Cuckoo,0.250000,15.879200,1000000.000000,3
Cuckoo,0.250000,35.700000,1000000.000000,4
Cuckoo,0.250000,16.833300,1000000.000000,5
Cuckoo,0.250000,14.941600,1000000.000000,6
Cuckoo,0.250000,17.620900,1000000.000000,7
Cuckoo,0.250000,15.691700,1000000.000000,8
Cuckoo,0.250000,13.275000,1000000.000000,9
Cuckoo,0.250000,13.162500,1000000.000000,10
Cuckoo,0.500000,13.670900,1000000.000000,1
Cuckoo,0.500000,19.216700,1000000.000000,2
Cuckoo,0.500000,14.062500,1000000.000000,3
Cuckoo,0.500000,13.800000,1000000.000000,4
Cuckoo,0.500000,14.012500,1000000.000000,5
Cuckoo,0.500000,13.679100,1000000.000000,6
Cuckoo,0.500000,14.125000,1000000.000000,7
Cuckoo,0.500000,13.575000,1000000.000000,8
Cuckoo,0.500000,13.508300,1000000.000000,9
Cuckoo,0.500000,13.420800,1000000.000000,10
Cuckoo,0.750000,16.745800,1000000.000000,1
Cuckoo,0.750000,16.362500,1000000.000000,2
Cuckoo,0.750000,16.400000,1000000.000000,3
Cuckoo,0.750000,16.500000,1000000.000000,4
Cuckoo,0.750000,16.466700,1000000.000000,5
Cuckoo,0.750000,16.341700,1000000.000000,6
Cuckoo,0.750000,16.391700,1000000.000000,7
Cuckoo,0.750000,19.929100,1000000.000000,8
Cuckoo,0.750000,16.483400,1000000.000000,9
Cuckoo,0.750000,18.412500,1000000.000000,10
Cuckoo,1.000000,32.129200,1000000.000000,1
Cuckoo,1.000000,32.583400,1000000.000000,2
Cuckoo,1.000000,32.579200,1000000.000000,3
Cuckoo,1.000000,35.962500,1000000.000000,4
Cuckoo,1.000000,32.133400,1000000.000000,5
Cuckoo,1.000000,32.850000,1000000.000000,6
Cuckoo,1.000000,32.679200,1000000.000000,7
Cuckoo,1.000000,35.183400,1000000.000000,8
Cuckoo,1.000000,32.612500,1000000.000000,9
Cuckoo,1.000000,32.808300,1000000.000000,10
Xor,0.000000,7.650000,1000000.000000,1
Xor,0.000000,6.516600,1000000.000000,2
Xor,0.000000,6.520900,1000000.000000,3
Xor,0.000000,6.504100,1000000.000000,4
Xor,0.000000,6.541700,1000000.000000,5
Xor,0.000000,6.800000,1000000.000000,6
Xor,0.000000,6.995800,1000000.000000,7
Xor,0.000000,6.941700,1000000.000000,8
Xor,0.000000,7.112500,1000000.000000,9
Xor,0.000000,18.733300,1000000.000000,10
Xor,0.250000,6.841700,1000000.000000,1
Xor,0.250000,7.070800,1000000.000000,2
Xor,0.250000,34.366600,1000000.000000,3
Xor,0.250000,8.383300,1000000.000000,4
Xor,0.250000,11.154200,1000000.000000,5
Xor,0.250000,6.879100,1000000.000000,6
Xor,0.250000,7.008400,1000000.000000,7
Xor,0.250000,7.195800,1000000.000000,8
Xor,0.250000,6.870800,1000000.000000,9
Xor,0.250000,6.591700,1000000.000000,10
Xor,0.500000,6.516600,1000000.000000,1
Xor,0.500000,6.516700,1000000.000000,2
Xor,0.500000,6.875000,1000000.000000,3
Xor,0.500000,6.800000,1000000.000000,4
Xor,0.500000,6.825000,1000000.000000,5
Xor,0.500000,6.491600,1000000.000000,6
Xor,0.500000,7.512500,1000000.000000,7
Xor,0.500000,6.566700,1000000.000000,8
Xor,0.500000,6.508300,1000000.000000,9
Xor,0.500000,6.795800,1000000.000000,10
Xor,0.750000,6.458300,1000000.000000,1
Xor,0.750000,6.750000,1000000.000000,2
Xor,0.750000,6.316700,1000000.000000,3
Xor,0.750000,6.316700,1000000.000000,4
Xor,0.750000,6.333300,1000000.000000,5
