FilterType,n,fpr,targetFpr,b
Bloom,500000.000000,0.007780,0.010000,1
Bloom,500000.000000,0.007848,0.010000,1
Bloom,500000.000000,0.007660,0.010000,1
Bloom,500000.000000,0.007692,0.010000,1
Bloom,500000.000000,0.007532,0.010000,1
Bloom,500000.000000,0.007894,0.010000,1
Bloom,500000.000000,0.007806,0.010000,1
Bloom,500000.000000,0.007650,0.010000,1
Bloom,500000.000000,0.007832,0.010000,1
Bloom,500000.000000,0.007744,0.010000,1
Bloom,500000.000000,0.007546,0.010000,2
Bloom,500000.000000,0.007626,0.010000,2
Bloom,500000.000000,0.007412,0.010000,2
Bloom,500000.000000,0.007458,0.010000,2
Bloom,500000.000000,0.007624,0.010000,2
Bloom,500000.000000,0.007500,0.010000,2
Bloom,500000.000000,0.007720,0.010000,2
Bloom,500000.000000,0.007740,0.010000,2
Bloom,500000.000000,0.007626,0.010000,2
Bloom,500000.000000,0.007286,0.010000,2
Bloom,500000.000000,0.007578,0.010000,4
Bloom,500000.000000,0.007580,0.010000,4
Bloom,500000.000000,0.007596,0.010000,4
Bloom,500000.000000,0.007484,0.010000,4
Bloom,500000.000000,0.007840,0.010000,4
Bloom,500000.000000,0.007332,0.010000,4
Bloom,500000.000000,0.007286,0.010000,4
Bloom,500000.000000,0.007600,0.010000,4
Bloom,500000.000000,0.007520,0.010000,4
Bloom,500000.000000,0.007564,0.010000,4
Bloom,500000.000000,0.007652,0.010000,8
Bloom,500000.000000,0.007398,0.010000,8
Bloom,500000.000000,0.007490,0.010000,8
Bloom,500000.000000,0.007732,0.010000,8
Bloom,500000.000000,0.007362,0.010000,8
Bloom,500000.000000,0.007538,0.010000,8
Bloom,500000.000000,0.007596,0.010000,8
Bloom,500000.000000,0.007248,0.010000,8
Bloom,500000.000000,0.007416,0.010000,8
Bloom,500000.000000,0.007564,0.010000,8
Bloom,1000000.000000,0.007714,0.010000,1
Bloom,1000000.000000,0.007790,0.010000,1
Bloom,1000000.000000,0.007713,0.010000,1
Bloom,1000000.000000,0.007747,0.010000,1
Bloom,1000000.000000,0.007647,0.010000,1
Bloom,1000000.000000,0.007756,0.010000,1
Bloom,1000000.000000,0.007741,0.010000,1
Bloom,1000000.000000,0.007654,0.010000,1
Bloom,1000000.000000,0.007625,0.010000,1
Bloom,1000000.000000,0.007634,0.010000,1
Bloom,1000000.000000,0.007629,0.010000,2
Bloom,1000000.000000,0.007732,0.010000,2
Bloom,1000000.000000,0.007563,0.010000,2
Bloom,1000000.000000,0.007590,0.010000,2
Bloom,1000000.000000,0.007563,0.010000,2
Bloom,1000000.000000,0.007608,0.010000,2
Bloom,1000000.000000,0.007579,0.010000,2
Bloom,1000000.000000,0.007694,0.010000,2
Bloom,1000000.000000,0.007512,0.010000,2
Bloom,1000000.000000,0.007634,0.010000,2
Bloom,1000000.000000,0.007498,0.010000,4
Bloom,1000000.000000,0.007491,0.010000,4
Bloom,1000000.000000,0.007446,0.010000,4
Bloom,1000000.000000,0.007624,0.010000,4
Bloom,1000000.000000,0.007514,0.010000,4
Bloom,1000000.000000,0.007616,0.010000,4
Bloom,1000000.000000,0.007654,0.010000,4
Bloom,1000000.000000,0.007613,0.010000,4
Bloom,1000000.000000,0.007569,0.010000,4
Bloom,1000000.000000,0.007539,0.010000,4
Bloom,1000000.000000,0.007520,0.010000,8
Bloom,1000000.000000,0.007446,0.010000,8
Bloom,1000000.000000,0.007500,0.010000,8
Bloom,1000000.000000,0.007502,0.010000,8
Bloom,1000000.000000,0.007373,0.010000,8
Bloom,1000000.000000,0.007477,0.010000,8
Bloom,1000000.000000,0.007408,0.010000,8
Bloom,1000000.000000,0.007627,0.010000,8
Bloom,1000000.000000,0.007511,0.010000,8
Bloom,1000000.000000,0.007522,0.010000,8
Bloom,5000000.000000,0.007738,0.010000,1
Bloom,5000000.000000,0.007710,0.010000,1
Bloom,5000000.000000,0.007740,0.010000,1
Bloom,5000000.000000,0.007763,0.010000,1
Bloom,5000000.000000,0.007745,0.010000,1
Bloom,5000000.000000,0.007661,0.010000,1
Bloom,5000000.000000,0.007712,0.010000,1
Bloom,5000000.000000,0.007750,0.010000,1
Bloom,5000000.000000,0.007705,0.010000,1
Bloom,5000000.000000,0.007726,0.010000,1
