FilterType,m,constTime,targetFpr,iteration
Bloom,8.000000,15.814625,0.010000,6
Bloom,8.000000,15.734042,0.010000,7
Bloom,8.000000,15.957541,0.010000,8
Bloom,8.000000,15.821875,0.010000,9
Bloom,8.000000,16.049333,0.010000,10
Bloom,8.000000,15.709208,0.010000,11
Bloom,8.000000,15.674500,0.010000,12
Bloom,8.000000,15.817958,0.010000,13
Bloom,8.000000,15.740750,0.010000,14
Bloom,9.000000,18.036083,0.010000,0
Bloom,9.000000,17.838333,0.010000,1
Bloom,9.000000,17.748334,0.010000,2
Bloom,9.000000,17.772709,0.010000,3
Bloom,9.000000,17.582209,0.010000,4
Bloom,9.000000,18.010250,0.010000,5
Bloom,9.000000,17.760958,0.010000,6
Bloom,9.000000,17.697417,0.010000,7
Bloom,9.000000,17.708666,0.010000,8
Bloom,9.000000,17.842167,0.010000,9
Bloom,9.000000,17.655916,0.010000,10
Bloom,9.000000,17.620250,0.010000,11
Bloom,9.000000,17.753625,0.010000,12
Bloom,9.000000,17.663667,0.010000,13
Bloom,9.000000,17.932292,0.010000,14
Bloom,2.000000,4.342291,0.100000,0
Bloom,2.000000,4.334875,0.100000,1
Bloom,2.000000,4.320208,0.100000,2
Bloom,2.000000,4.335333,0.100000,3
Bloom,2.000000,4.317208,0.100000,4
Bloom,2.000000,4.350000,0.100000,5
Bloom,2.000000,4.340958,0.100000,6
Bloom,2.000000,4.367208,0.100000,7
Bloom,2.000000,4.328875,0.100000,8
Bloom,2.000000,4.340083,0.100000,9
Bloom,2.000000,4.382292,0.100000,10
Bloom,2.000000,4.335541,0.100000,11
Bloom,2.000000,4.317125,0.100000,12
Bloom,2.000000,4.433625,0.100000,13
Bloom,2.000000,4.339333,0.100000,14
Bloom,3.000000,6.219208,0.100000,0
Bloom,3.000000,6.175250,0.100000,1
Bloom,3.000000,6.223959,0.100000,2
Bloom,3.000000,6.179833,0.100000,3
Bloom,3.000000,6.263208,0.100000,4
Bloom,3.000000,6.201291,0.100000,5
Bloom,3.000000,6.265208,0.100000,6
Bloom,3.000000,6.254458,0.100000,7
Bloom,3.000000,6.147084,0.100000,8
Bloom,3.000000,6.608625,0.100000,9
Bloom,3.000000,6.147875,0.100000,10
Bloom,3.000000,6.322500,0.100000,11
Bloom,3.000000,6.158667,0.100000,12
Bloom,3.000000,6.150875,0.100000,13
Bloom,3.000000,6.176375,0.100000,14
Bloom,4.000000,8.632958,0.100000,0
Bloom,4.000000,8.056042,0.100000,1
Bloom,4.000000,8.040667,0.100000,2
Bloom,4.000000,8.019584,0.100000,3
Bloom,4.000000,7.978875,0.100000,4
Bloom,4.000000,8.005875,0.100000,5
Bloom,4.000000,8.017750,0.100000,6
Bloom,4.000000,8.023083,0.100000,7
Bloom,4.000000,8.069958,0.100000,8
Bloom,4.000000,8.014708,0.100000,9
Bloom,4.000000,8.065833,0.100000,10
Bloom,4.000000,8.192000,0.100000,11
Bloom,4.000000,8.202125,0.100000,12
Bloom,4.000000,8.018625,0.100000,13
Bloom,4.000000,8.023375,0.100000,14
Bloom,5.000000,9.911667,0.100000,0
Bloom,5.000000,9.905125,0.100000,1
Bloom,5.000000,9.851000,0.100000,2
Bloom,5.000000,9.855666,0.100000,3
Bloom,5.000000,9.899083,0.100000,4
Bloom,5.000000,9.866416,0.100000,5
Bloom,5.000000,9.952792,0.100000,6
Bloom,5.000000,9.885333,0.100000,7
Bloom,5.000000,9.883250,0.100000,8
Bloom,5.000000,10.028125,0.100000,9
Bloom,5.000000,9.945625,0.100000,10
Bloom,5.000000,9.893583,0.100000,11
Bloom,5.000000,9.860000,0.100000,12
Bloom,5.000000,9.927500,0.100000,13
Bloom,5.000000,9.924250,0.100000,14
Bloom,6.000000,11.724666,0.100000,0
Bloom,6.000000,12.122542,0.100000,1
Bloom,6.000000,11.776375,0.100000,2
Bloom,6.000000,11.746250,0.100000,3
Bloom,6.000000,11.686375,0.100000,4
Bloom,6.000000,11.718000,0.100000,5
Bloom,6.000000,12.469625,0.100000,6
Bloom,6.000000,11.760667,0.100000,7
Bloom,6.000000,11.777375,0.100000,8
Bloom,6.000000,11.905291,0.100000,9
Bloom,6.000000,11.976042,0.100000,10
Bloom,6.000000,11.909542,0.100000,11
Bloom,6.000000,11.795875,0.100000,12
Bloom,6.000000,11.775708,0.100000,13
Bloom,6.000000,11.728959,0.100000,14
