FilterType,b,alpha,n,iteration
Cuckoo,8.000000,1.000000,100000.000000,6
Cuckoo,8.000000,1.000000,100000.000000,7
Cuckoo,8.000000,1.000000,100000.000000,8
Cuckoo,8.000000,1.000000,100000.000000,9
Cuckoo,8.000000,1.000000,100000.000000,10
Cuckoo,8.000000,1.000000,100000.000000,11
Cuckoo,8.000000,1.000000,100000.000000,12
Cuckoo,8.000000,1.000000,100000.000000,13
Cuckoo,8.000000,1.000000,100000.000000,14
Cuckoo,1.000000,0.193774,1000000.000000,0
Cuckoo,1.000000,0.223480,1000000.000000,1
Cuckoo,1.000000,0.237617,1000000.000000,2
Cuckoo,1.000000,0.207120,1000000.000000,3
Cuckoo,1.000000,0.189071,1000000.000000,4
Cuckoo,1.000000,0.259728,1000000.000000,5
Cuckoo,1.000000,0.174760,1000000.000000,6
Cuckoo,1.000000,0.224406,1000000.000000,7
Cuckoo,1.000000,0.234878,1000000.000000,8
Cuckoo,1.000000,0.122597,1000000.000000,9
Cuckoo,1.000000,0.194260,1000000.000000,10
Cuckoo,1.000000,0.172461,1000000.000000,11
Cuckoo,1.000000,0.253280,1000000.000000,12
Cuckoo,1.000000,0.179644,1000000.000000,13
Cuckoo,1.000000,0.240094,1000000.000000,14
Cuckoo,2.000000,1.000000,1000000.000000,0
Cuckoo,2.000000,1.000000,1000000.000000,1
Cuckoo,2.000000,1.000000,1000000.000000,2
Cuckoo,2.000000,1.000000,1000000.000000,3
Cuckoo,2.000000,1.000000,1000000.000000,4
Cuckoo,2.000000,1.000000,1000000.000000,5
Cuckoo,2.000000,1.000000,1000000.000000,6
Cuckoo,2.000000,1.000000,1000000.000000,7
Cuckoo,2.000000,1.000000,1000000.000000,8
Cuckoo,2.000000,1.000000,1000000.000000,9
Cuckoo,2.000000,1.000000,1000000.000000,10
Cuckoo,2.000000,1.000000,1000000.000000,11
Cuckoo,2.000000,1.000000,1000000.000000,12
Cuckoo,2.000000,1.000000,1000000.000000,13
Cuckoo,2.000000,1.000000,1000000.000000,14
Cuckoo,4.000000,1.000000,1000000.000000,0
Cuckoo,4.000000,1.000000,1000000.000000,1
Cuckoo,4.000000,1.000000,1000000.000000,2
Cuckoo,4.000000,1.000000,1000000.000000,3
Cuckoo,4.000000,1.000000,1000000.000000,4
